Compound,Neutral.Formula,CAS,CAS_RN,InChIKey,mz,Adduct,Charge,CCS,SD,RSD,CCS.z,Peak.N,Kingdom,Super.Class,Class,Subclass,N.Rep,Sources
"4-Hydroxy-2',3,3',5,5',6'-hexachlorobiphenyl",C12H4Cl6O,158076-62-1,CAS_RN:158076-62-1,GBRSRHQBVBUJCF-UHFFFAOYSA-N,372.8315,[M-H],-1,175.1,0.173,0.001,175.1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
"4-Hydroxy-2',3',4',5'-tetrachlorobiphenyl",C12H6Cl4O,67651-34-7,CAS_RN:67651-34-7,RESKVBRHSNTJNG-UHFFFAOYSA-N,304.9095,[M-H],-1,163.1,0.058,4.00E-04,163.1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
"4-Hydroxy-2',3',5',6'-tetrachlorobiphenyl ",C12H6Cl4O,14962-32-4,CAS_RN:14962-32-4,KFRNOFIZNYHJDX-UHFFFAOYSA-N,304.9095,[M-H],-1,163.4,0.304,0.0019,163.4,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
"4-Hydroxy-2',4',6'-trichlorobiphenyl ",C12H7Cl3O,14962-28-8,CAS_RN:14962-28-8,LTQJFLVGNGVJCX-UHFFFAOYSA-N,270.9484,[M-H],-1,159.3,0.058,4.00E-04,159.3,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
"4-Hydroxy-2',5'-dichlorobiphenyl ",C12H8Cl2O,53905-28-5,CAS_RN:53905-28-5,BTORSXCJJIWNIS-UHFFFAOYSA-N,236.9874,[M-H],-1,152.6,0.115,8.00E-04,152.6,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
4-Hydroxy-3-chlorobiphenyl ,C12H9ClO,92-04-6,CAS_RN:92-04-6,BZWMYDJJDBFAPE-UHFFFAOYSA-N,203.0264,[M-H],-1,146,0.152,0.001,146,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
"4-Hydroxy-3,5-dichlorobiphenyl ",C12H8Cl2O,1137-59-3,CAS_RN:1137-59-3,HHFXDKAXCKUSIV-UHFFFAOYSA-N,236.9874,[M-H],-1,150.9,0.152,0.001,150.9,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
4-Hydroxy-4'-chlorobiphenyl ,C12H9ClO,28034-99-3,CAS_RN:28034-99-3,ICVFJPSNAUMFCW-UHFFFAOYSA-N,203.0264,[M-H],-1,147.8,0.567,0.0038,147.8,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
4-Hydroxybenzoate,C7H6O3,99-96-7,CAS_RN:99-96-7,FJKROLUGYXJWQN-UHFFFAOYSA-N,137.0259,[M-H],-1,121.6,0.826,0.0068,121.6,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,4,8
4-Hydroxybenzoate,C7H6O2,123-08-0,CAS_RN:123-08-0,RGHHSNMVTDWUBI-UHFFFAOYSA-N,121.0305,[M-H],-1,121.6,0.826,0.0068,121.6,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,4,8
4-Hydroxyphenylacetic Acid,C8H8O3,156-38-7,CAS_RN:156-38-7,XQXPVVBIMDBYFF-UHFFFAOYSA-N,151.0395,[M-H],-1,128.9,0.688,0.0053,128.9,1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,4,7
4-Hydroxyphenylpyruvic Acid,C9H8O4,156-39-8,CAS_RN:156-39-8,KKADPXVIOXHVKN-UHFFFAOYSA-N,179.0344,[M-H],-1,147.1,0.252,0.0017,147.1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives,3,7
4-Imidazoleacetate,C5H6N2O2,3251-69-2,CAS_RN:3251-69-2,MWHLCFYPFGFBQO-UHFFFAOYSA-N,127.0501,[M+H],1,124,0.173,0.0014,124,1,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,4,8
4-Methylcatechol,C7H8O2,452-86-8,CAS_RN:452-86-8,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,123.0443,[M-H],-1,121.5,0.834,0.0069,121.5,1,Organic compounds,Benzenoids,Phenols,Benzenediols,4,8
4-Pyridoxate,C8H9NO4,82-82-6,CAS_RN:82-82-6,HXACOUQIXZGNBF-UHFFFAOYSA-N,182.0452,[M-H],-1,130.9,0.591,0.0045,130.9,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,4,8
4-Pyridoxate,C8H9NO4,82-82-6,CAS_RN:82-82-6,HXACOUQIXZGNBF-UHFFFAOYSA-N,184.0586,[M+H],1,136,0.611,0.0045,136,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,6,"7, 8"
4-Pyridoxate,C8H9NO4,82-82-6,CAS_RN:82-82-6,HXACOUQIXZGNBF-UHFFFAOYSA-N,222.015,[M+K],1,147.6,0.519,0.0035,147.6,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,4,8
4-Pyridoxate,C8H9NO4,82-82-6,CAS_RN:82-82-6,HXACOUQIXZGNBF-UHFFFAOYSA-N,206.0401,[M+Na],1,150.6,0.52,0.0035,150.6,1,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,7,"7, 8"
4-Quinolinecarboxylate,C10H7NO2,486-74-8,CAS_RN:486-74-8,VQMSRUREDGBWKT-UHFFFAOYSA-N,172.0396,[M-H],-1,134.6,0.555,0.0041,134.6,1,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,NA,4,8
4-Quinolinecarboxylate,C10H7NO2,486-74-8,CAS_RN:486-74-8,VQMSRUREDGBWKT-UHFFFAOYSA-N,174.0544,[M+H],1,133.5,0.297,0.0022,133.5,1,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,NA,4,8
"4,6-Dioxoheptanoic Acid",C7H10O4,51568-18-4,CAS_RN:51568-18-4,KRFBMPVGAYGGJE-UHFFFAOYSA-N,157.0501,[M-H],-1,131,0.209,0.0016,131,1,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,3,7
"4,6-Dioxoheptanoic Acid",C7H10O4,51568-18-4,CAS_RN:51568-18-4,KRFBMPVGAYGGJE-UHFFFAOYSA-N,181.0477,[M+Na],1,138.6,0.83,0.006,138.6,1,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,3,7
"4'-Hydroxy-2,2',3,3',4,5,5'-heptachlorobiphenyl",C12H3Cl7O,158076-64-3,CAS_RN:158076-64-3,NMAGXCAAKZMNOI-UHFFFAOYSA-N  ,406.7925,[M-H],-1,179.8,0.251,0.0014,179.8,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
5-7-dihydroxy-3-4-5-trimethoxyflavone,C18H16O7,18103-42-9,CAS_RN:18103-42-9,CPCPHNWWTJLXKQ-UHFFFAOYSA-N,343.0818,[M-H],-1,191,1.043,0.0055,191,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,3,7
5-Aminolevulinate,C5H9NO3,1951-02-9,CAS_RN:1951-02-9,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,132.0652,[M+H],1,130.7,0.05,4.00E-04,130.7,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
5-Hydroxy-L-tryptophan,C11H12N2O3,1950-08-9,CAS_RN:1950-08-9,LDCYZAJDBXYCGN-VIFPVBQESA-N,241.06,[M-2H+Na],-1,149.8,0.356,0.0024,149.8,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,4,8
5-Hydroxy-L-tryptophan,C11H12N2O3,1950-08-9,CAS_RN:1950-08-9,LDCYZAJDBXYCGN-VIFPVBQESA-N,219.077,[M-H],-1,147,0.34,0.0023,147,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,4,8
5-Hydroxy-L-tryptophan,C11H12N2O3,1950-08-9,CAS_RN:1950-08-9,LDCYZAJDBXYCGN-VIFPVBQESA-N,219.078,[M-H],-1,151.9,0.483,0.0032,151.9,2,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,7,"7, 8"
5-Hydroxy-L-tryptophan,C11H12N2O3,1950-08-9,CAS_RN:1950-08-9,LDCYZAJDBXYCGN-VIFPVBQESA-N,221.092,[M+H],1,155.6,1.246,0.008,155.6,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,7,"7, 8"
5-Hydroxy-L-tryptophan,C11H12N2O3,1950-08-9,CAS_RN:1950-08-9,LDCYZAJDBXYCGN-VIFPVBQESA-N,367.0794,[M+Na],1,153.6,1.184,0.0077,153.6,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,7,"7, 8"
5-Hydroxyindoleacetate,C10H9NO3,54-16-0,CAS_RN:54-16-0,DUUGKQCEGZLZNO-UHFFFAOYSA-N,190.0503,[M-H],-1,137.3,0.294,0.0021,137.3,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
5-Hydroxyindoleacetate,C10H9NO3,54-16-0,CAS_RN:54-16-0,DUUGKQCEGZLZNO-UHFFFAOYSA-N,192.0664,[M+H],1,141.1,0.292,0.0021,141.1,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
5-Hydroxyindoleacetate,C10H9NO3,54-16-0,CAS_RN:54-16-0,DUUGKQCEGZLZNO-UHFFFAOYSA-N,214.0468,[M+Na],1,148.6,0.408,0.0027,148.6,1,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,4,8
5-Hydroxylysine,C6H14N2O3,13204-98-3,CAS_RN:13204-98-3,MJXVOTKVFFAZQJ-UHFFFAOYSA-N  ,161.0933,[M-H],-1,134.2,0.387,0.0029,134.2,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
5-Hydroxylysine,C6H14N2O3,13204-98-3,CAS_RN:13204-98-3,MJXVOTKVFFAZQJ-UHFFFAOYSA-N  ,163.1076,[M+H],1,135,0.25,0.0019,135,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
5-Hydroxylysine,C6H14N2O3,13204-98-3,CAS_RN:13204-98-3,MJXVOTKVFFAZQJ-UHFFFAOYSA-N  ,185.0896,[M+Na],1,137.7,0.173,0.0013,137.7,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
5-Hydroxymethyluracil,C5H6N2O3,4433-40-3,CAS_RN:4433-40-3,JDBGXEHEIRGOBU-UHFFFAOYSA-N,141.03,[M-H],-1,124.1,0.116,9.00E-04,124.1,1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,3,7
5-Hydroxymethyluracil,C5H6N2O3,4433-40-3,CAS_RN:4433-40-3,JDBGXEHEIRGOBU-UHFFFAOYSA-N,165.0276,[M+Na],1,141.2,0.915,0.0065,141.2,1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,3,7
5-iPF2alpha-VI,C20H34O5,180469-63-0,CAS_RN:180469-63-0,RZCPXIZGLPAGEV-UHFFFAOYSA-N,353.2328,[M-H],-1,194.3,0.415,0.0021,194.3,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
5-iPF2alpha-VI,C20H34O5,180469-63-0,CAS_RN:180469-63-0,RZCPXIZGLPAGEV-UHFFFAOYSA-N,377.2304,[M+Na],1,204.2,0.597,0.0029,204.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
5-Methylcytidine,C10H15N3O5,2140-61-6,CAS_RN:2140-61-6,ZAYHVCMSTBRABG-JXOAFFINSA-N,256.0933,[M-H],-1,159.9,0.437,0.0027,159.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,3,7
5-Methylcytidine,C10H15N3O5,2140-61-6,CAS_RN:2140-61-6,ZAYHVCMSTBRABG-JXOAFFINSA-N,258.109,[M+H],1,156.5,0.791,0.0051,156.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,3,7
5-Methylcytidine,C10H15N3O5,2140-61-6,CAS_RN:2140-61-6,ZAYHVCMSTBRABG-JXOAFFINSA-N,280.0909,[M+Na],1,167.9,1.412,0.0084,167.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,3,7
5-Methylcytosine,C5H7N3O,58366-64-6,CAS_RN:58366-64-6,LRSASMSXMSNRBT-UHFFFAOYSA-N,126.0671,[M+H],1,121.1,0.206,0.0017,121.1,1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,4,8
5-Methylcytosine,C5H7N3O,58366-64-6,CAS_RN:58366-64-6,LRSASMSXMSNRBT-UHFFFAOYSA-N,126.0671,[M+H],1,125.7,0.512,0.0041,125.7,2,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,4,8
5-Methylcytosine,C5H7N3O,58366-64-6,CAS_RN:58366-64-6,LRSASMSXMSNRBT-UHFFFAOYSA-N,148.0475,[M+Na],1,135.7,0.408,0.003,135.7,1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,4,8
5-Methyltetrahydrofolate,C20H25N7O6,68792-52-9,CAS_RN:68792-52-9,KKIWVYLOTHCGRV-UHFFFAOYSA-L,458.1781,[M-H],-1,197.8,0,0,197.8,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,3,7
5-Methyltetrahydrofolate,C20H25N7O6,68792-52-9,CAS_RN:68792-52-9,KKIWVYLOTHCGRV-UHFFFAOYSA-L,460.1938,[M+H],1,194.7,0.588,0.003,194.7,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,3,7
5-Methyltetrahydrofolate,C20H25N7O6,68792-52-9,CAS_RN:68792-52-9,KKIWVYLOTHCGRV-UHFFFAOYSA-L,482.1757,[M+Na],1,197.7,0.576,0.0029,197.7,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,3,7
5-Methyltetrahydrofolic Acid,C20H25N7O6,134-35-0,CAS_RN:134-35-0,ZNOVTXRBGFNYRX-STQMWFEESA-N,458.1798,[M-H],-1,199.8,0.865,0.0043,199.8,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,6,6
5-Methyltetrahydrofolic Acid,C20H25N7O6,134-35-0,CAS_RN:134-35-0,ZNOVTXRBGFNYRX-STQMWFEESA-N,460.1939,[M+H],1,197.3,0.258,0.0013,197.3,1,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,6,6
"5,12-Naphthacene Quinone",C18H10O2,1090-13-7,CAS_RN:1090-13-7,LZPBKINTWROMEA-UHFFFAOYSA-N,259.0759,[M+H],1,155.7,1.25,0.008,155.7,1,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Benzoquinolines,3,7
"5,6-Dimethylbenzimidazole",C9H10N2,582-60-5,CAS_RN:582-60-5,LJUQGASMPRMWIW-UHFFFAOYSA-N,145.0762,[M-H],-1,130,0.234,0.0018,130,1,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,NA,4,8
"5,6-Dimethylbenzimidazole",C9H10N2,582-60-5,CAS_RN:582-60-5,LJUQGASMPRMWIW-UHFFFAOYSA-N,147.0913,[M+H],1,130.4,0.331,0.0025,130.4,1,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,NA,4,8
"5,7-Dihydroxy-3,4,5-trimethoxyflavone",C18H16O7,18103-42-9,CAS_RN:18103-42-9,CPCPHNWWTJLXKQ-UHFFFAOYSA-N,345.0974,[M+H],1,184.4,0.353,0.0019,184.4,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,3,7
"5,7-Dihydroxy-3,4,5-trimethoxyflavone",C18H16O7,18103-42-9,CAS_RN:18103-42-9,CPCPHNWWTJLXKQ-UHFFFAOYSA-N,367.0794,[M+Na],1,208.7,0.406,0.0019,208.7,1,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,3,7
5'-Deoxyadenosine,C10H13N5O3,4754-39-6,CAS_RN:4754-39-6,XGYIMTFOTBMPFP-KQYNXXCUSA-N,250.0947,[M-H],-1,154.9,0.231,0.0015,154.9,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,NA,4,8
5'-Deoxyadenosine,C10H13N5O3,4754-39-6,CAS_RN:4754-39-6,XGYIMTFOTBMPFP-KQYNXXCUSA-N,252.108,[M+H],1,152.3,0.096,6.00E-04,152.3,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,NA,4,"7, 8"
5'-Deoxyadenosine,C10H13N5O3,4754-39-6,CAS_RN:4754-39-6,XGYIMTFOTBMPFP-KQYNXXCUSA-N,252.108,[M+H],1,159.6,1.507,0.0094,159.6,2,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,NA,7,8
5'-Deoxyadenosine,C10H13N5O3,4754-39-6,CAS_RN:4754-39-6,XGYIMTFOTBMPFP-KQYNXXCUSA-N,274.0895,[M+Na],1,168,1.01,0.006,168,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,NA,5,"7, 8"
5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,CAS_RN:2457-80-9,WUUGFSXJNOTRMR-IOSLPCCCSA-N,296.0817,[M-H],-1,168.3,1.426,0.0085,168.3,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,7,"7, 8"
5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,CAS_RN:2457-80-9,WUUGFSXJNOTRMR-IOSLPCCCSA-N,298.0974,[M+H],1,162,0.938,0.0058,162,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,4,8
5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,CAS_RN:2457-80-9,WUUGFSXJNOTRMR-IOSLPCCCSA-N,298.0992,[M+H],1,171,1.103,0.0065,171,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,7,"7, 8"
5'-Methylthioadenosine,C11H15N5O3S,2457-80-9,CAS_RN:2457-80-9,WUUGFSXJNOTRMR-IOSLPCCCSA-N,320.0793,[M+Na],1,173.5,1.949,0.0112,173.5,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,7,"7, 8"
5(S)-HETE,C20H32O3,70608-72-9,CAS_RN:70608-72-9,KGIJOOYOSFUGPC-JGKLHWIESA-N,319.2235,[M-H],-1,186.6,0.1,5.00E-04,186.6,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
5(S)-HETE,C20H32O3,70608-72-9,CAS_RN:70608-72-9,KGIJOOYOSFUGPC-JGKLHWIESA-N,343.2211,[M+Na],1,187,0.399,0.0021,187,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
6-Aminocaproic Acid,C6H13NO2,60-32-2,CAS_RN:60-32-2,SLXKOJJOQWFEFD-UHFFFAOYSA-N,132.1024,[M+H],1,130.2,0.894,0.0069,130.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,5,"1, 4"
6-Carboxyhexanoate,C7H12O4,111-16-0,CAS_RN:111-16-0,WLJVNTCWHIRURA-UHFFFAOYSA-N,181.0497,[M-2H+Na],-1,134.7,0.519,0.0039,134.7,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
6-Carboxyhexanoate,C7H12O4,111-16-0,CAS_RN:111-16-0,WLJVNTCWHIRURA-UHFFFAOYSA-N,159.0677,[M-H],-1,131.2,0.606,0.0046,131.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
6-Carboxyhexanoate,C7H12O4,111-16-0,CAS_RN:111-16-0,WLJVNTCWHIRURA-UHFFFAOYSA-N,183.0626,[M+Na],1,140.2,0.386,0.0028,140.2,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,4,8
6-Deoxy-L-galactose,C6H12O5,2438-80-4,CAS_RN:2438-80-4,SHZGCJCMOBCMKK-DHVFOXMCSA-N,187.0582,[M+Na],1,146.4,0.362,0.0025,146.4,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
"6-Hydroxy-2,2',4,4'-tetrabromodiphenylether",C12H6Br4O2,79755-43-4,CAS_RN:79755-43-4,SNCQITRZEBFIRW-UHFFFAOYSA-N,496.7023,[M-H],-1,174.9,0.549,0.0031,174.9,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
6-Hydroxychrysene ,C18H12O,37515-51-8,CAS_RN:37515-51-8,VXFDOYXVHRYCGS-UHFFFAOYSA-N,243.081,[M-H],-1,157.3,0.115,7.00E-04,157.3,1,Organic compounds,Benzenoids,Phenanthrenes and derivatives,Chrysenes,3,7
6-Hydroxydopamine,C8H11NO3,28094-15-7,CAS_RN:28094-15-7,QLMRJHFAGVFUAC-UHFFFAOYSA-N,170.0813,[M+H],1,143.2,0.412,0.0029,143.2,1,Organic compounds,Benzenoids,Phenols,Benzenediols,4,8
6-Hydroxynicotinate,C6H5NO3,5006-66-6,CAS_RN:5006-66-6,BLHCMGRVFXRYRN-UHFFFAOYSA-N,140.0349,[M+H],1,129.1,0.465,0.0036,129.1,1,Organic compounds,Organoheterocyclic compounds,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,4,8
6-keto-Prostaglandin F1alpha,C20H34O6,58962-34-8,CAS_RN:58962-34-8,KFGOFTHODYBSGM-ZUNNJUQCSA-N,369.2277,[M-H],-1,196,0.1,5.00E-04,196,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
6-keto-Prostaglandin F1alpha,C20H34O6,58962-34-8,CAS_RN:58962-34-8,KFGOFTHODYBSGM-ZUNNJUQCSA-N,393.2253,[M+Na],1,202.9,1.05,0.0052,202.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
6-Phosphogluconate,C6H13O10P,53411-70-4,CAS_RN:53411-70-4,CQCGRILWVWERIG-UHFFFAOYSA-N,296.9997,[M-2H+Na],-1,149.1,0.35,0.0023,149.1,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4,8
6-Phosphogluconate,C6H13O10P,53411-70-4,CAS_RN:53411-70-4,CQCGRILWVWERIG-UHFFFAOYSA-N,275.017,[M-H],-1,143.7,0.126,9.00E-04,143.7,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4,8
6-Phosphogluconate,C6H13O10P,53411-70-4,CAS_RN:53411-70-4,CQCGRILWVWERIG-UHFFFAOYSA-N,299.0123,[M+Na],1,157.3,0.655,0.0042,157.3,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4,8
6-Phosphogluconic Acid,C6H13O10P,921-62-0,CAS_RN:921-62-0,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,275.0168,[M-H],-1,145.2,0.058,4.00E-04,145.2,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
6-Phosphogluconic Acid,C6H13O10P,921-62-0,CAS_RN:921-62-0,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,299.0144,[M+Na],1,166.1,0.528,0.0032,166.1,1,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3,7
"6'-Hydroxy-2,2',4,4',5-pentabromodiphenylether",C12H5Br5O2,297742-10-0,CAS_RN:297742-10-0,DQWSPMONGKASSJ-UHFFFAOYSA-N  ,574.6128,[M-H],-1,182.6,0.115,6.00E-04,182.6,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,3,7
7-hydroxybenzo(a)pyrene,C20H12O,37994-82-4,CAS_RN:37994-82-4,CNQAYISXCZTDQX-UHFFFAOYSA-N,267.081,[M-H],-1,162.6,0,0,162.6,1,Organic compounds,Benzenoids,Pyrenes,Benzopyrenes,3,7
7-Methylguanine,C6H7N5O,578-76-7,CAS_RN:578-76-7,FZWGECJQACGGTI-UHFFFAOYSA-N,164.0572,[M-H],-1,136.1,0,0,136.1,1,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,3,7
7-Methylguanine,C6H7N5O,578-76-7,CAS_RN:578-76-7,FZWGECJQACGGTI-UHFFFAOYSA-N,166.0729,[M+H],1,133.4,0.37,0.0028,133.4,1,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,3,7
7-Methylguanine,C6H7N5O,578-76-7,CAS_RN:578-76-7,FZWGECJQACGGTI-UHFFFAOYSA-N,188.0548,[M+Na],1,148.8,0.24,0.0016,148.8,1,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,3,7
7(R)-Maresin-1,C22H32O4,1268720-28-0,CAS_RN:1268720-28-0,HLHYXXBCQOUTGK-FHCQLJOMSA-N  ,359.2222,[M-H],-1,192.9,0.058,3.00E-04,192.9,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
7(R)-Maresin-1,C22H32O4,1268720-28-0,CAS_RN:1268720-28-0,HLHYXXBCQOUTGK-FHCQLJOMSA-N  ,383.2198,[M+Na],1,193.3,0.315,0.0016,193.3,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
7(S)-Maresin-1,C22H32O4,1268720-66-6,CAS_RN:1268720-66-6,HLHYXXBCQOUTGK-UHFFFAOYSA-N,359.2222,[M-H],-1,192.8,0.199,0.001,192.8,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
7(S)-Maresin-1,C22H32O4,1268720-66-6,CAS_RN:1268720-66-6,HLHYXXBCQOUTGK-UHFFFAOYSA-N,383.2198,[M+Na],1,194.7,0.482,0.0025,194.7,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Fatty acids and conjugates,3,7
8-iso-15(R)-Prostaglandin F2alpha,C20H34O5,214748-65-9,CAS_RN:214748-65-9,PXGPLTODNUVGFL-PGWUFSIFSA-N,353.2328,[M-H],-1,197.7,0.199,0.001,197.7,1,Organic compounds,Lipids and lipid-like molecules,Fatty acyls,Eicosanoids,3,7
